attacking_role,defending_role,shots_total_factor,shots_on_factor,fouls_committed_factor,fouls_drawn_factor,yellow_cards_factor
CB,CB,1.0,1.0,1.0,1.0,1.0
CB,FB,1.0,1.0,1.0,1.0,1.0
CB,DM,1.0,1.0,1.0,1.0,1.0
CB,CM,1.0,1.0,1.0,1.0,1.0
CB,W,1.0,1.0,1.0,1.0,1.0
CB,ST,1.0,1.0,1.0,1.0,1.0
CB,GK,1.0,1.0,1.0,1.0,1.0
CB,ALL,1.0,1.0,1.0,1.0,1.0
CM,CB,1.0,1.0,1.0,1.0,1.0
CM,FB,1.0,1.0,1.0,1.0,1.0
CM,DM,1.0,1.0,1.0,1.0,1.0
CM,CM,1.0,1.0,1.0,1.0,1.0
CM,W,1.0,1.0,1.0,1.0,1.0
CM,ST,1.0,1.0,1.0,1.0,1.0
CM,GK,1.0,1.0,1.0,1.0,1.0
CM,ALL,1.0,1.0,1.0,1.0,1.0
DM,CB,1.0,1.0,1.0,1.0,1.0
DM,FB,1.0,1.0,1.0,1.0,1.0
DM,DM,1.0,1.0,1.0,1.0,1.0
DM,CM,1.0,1.0,1.0,1.0,1.0
DM,W,1.0,1.0,1.0,1.0,1.0
DM,ST,1.0,1.0,1.0,1.0,1.0
DM,GK,1.0,1.0,1.0,1.0,1.0
DM,ALL,1.0,1.0,1.0,1.0,1.0
FB_L,CB,1.0,1.0,1.0,1.0,1.0
FB_L,FB,1.0,1.0,1.0,1.0,1.0
FB_L,DM,1.0,1.0,1.0,1.0,1.0
FB_L,CM,1.0,1.0,1.0,1.0,1.0
FB_L,W,1.0,1.0,1.0,1.0,1.0
FB_L,ST,1.0,1.0,1.0,1.0,1.0
FB_L,GK,1.0,1.0,1.0,1.0,1.0
FB_L,ALL,1.0,1.0,1.0,1.0,1.0
GK,CB,1.0,1.0,1.0,1.0,1.0
GK,FB,1.0,1.0,1.0,1.0,1.0
GK,DM,1.0,1.0,1.0,1.0,1.0
GK,CM,1.0,1.0,1.0,1.0,1.0
GK,W,1.0,1.0,1.0,1.0,1.0
GK,ST,1.0,1.0,1.0,1.0,1.0
GK,GK,1.0,1.0,1.0,1.0,1.0
GK,ALL,1.0,1.0,1.0,1.0,1.0
ST,CB,1.0,1.0,1.0,1.0,1.0
ST,FB,1.0,1.0,1.0,1.0,1.0
ST,DM,1.0,1.0,1.0,1.0,1.0
ST,CM,1.0,1.0,1.0,1.0,1.0
ST,W,1.0,1.0,1.0,1.0,1.0
ST,ST,1.0,1.0,1.0,1.0,1.0
ST,GK,1.0,1.0,1.0,1.0,1.0
ST,ALL,1.0,1.0,1.0,1.0,1.0
UNK,CB,1.0,1.0,1.0,1.0,1.0
UNK,FB,1.0,1.0,1.0,1.0,1.0
UNK,DM,1.0,1.0,1.0,1.0,1.0
UNK,CM,1.0,1.0,1.0,1.0,1.0
UNK,W,1.0,1.0,1.0,1.0,1.0
UNK,ST,1.0,1.0,1.0,1.0,1.0
UNK,GK,1.0,1.0,1.0,1.0,1.0
UNK,ALL,1.5458582717779996,1.585106125321131,1.3842660375114615,1.3814518076386593,0.9444362267642756
